PM2_5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,AQI
118.7,107.1,38.6,49.1,0.2,52.7,23.3,41.1,77.8
38.5,69.8,15.1,12.1,1.04,53.4,20.2,45.7,38.1
64.0,101.4,8.3,5.1,2.65,83.4,36.4,42.3,79.4
115.5,171.3,66.6,15.5,0.74,12.0,31.0,72.4,95.9
57.8,79.9,46.5,12.4,0.82,26.3,28.3,51.7,58.4
131.2,214.3,24.6,4.4,1.19,19.6,26.7,79.8,133.9
41.2,45.6,11.2,22.6,1.05,115.7,23.9,74.7,36.3
46.5,72.0,14.2,16.4,1.4,65.7,16.0,32.6,79.9
91.8,130.9,41.9,2.9,1.99,8.4,21.5,39.9,94.2
52.3,33.1,15.3,21.6,0.73,76.9,29.2,42.3,54.3
117.6,218.2,27.5,11.1,0.35,55.2,28.5,48.0,99.5
61.6,79.8,6.9,15.5,0.6,47.3,23.7,58.6,61.9
74.0,167.7,53.1,6.4,1.65,20.0,18.7,34.9,95.1
41.3,77.2,22.5,19.1,0.85,60.4,28.6,53.8,57.6
18.7,27.4,41.0,30.3,1.36,12.8,24.0,51.2,15.0
122.4,195.9,49.6,13.2,1.39,38.8,25.8,48.6,91.3
51.7,49.7,42.5,9.2,0.98,30.3,29.1,43.8,63.3
68.0,100.3,41.8,34.3,2.09,24.1,28.8,67.2,91.0
127.8,241.3,26.1,23.8,1.42,27.3,31.3,39.1,116.9
139.4,273.5,28.5,9.4,0.67,35.6,22.9,52.4,115.4
49.5,59.7,85.3,37.4,0.54,14.0,28.6,29.0,56.2
72.5,127.4,91.0,13.0,0.49,37.9,28.1,79.1,60.5
94.3,122.6,49.6,7.5,1.22,38.5,30.2,48.4,97.7
136.5,249.2,35.1,14.0,1.26,50.5,27.4,78.7,121.2
84.3,136.4,7.6,6.6,1.23,44.7,28.3,41.5,73.9
69.7,106.9,41.1,2.0,0.95,49.7,21.4,68.4,75.2
101.9,176.0,11.2,6.8,1.35,25.0,15.1,23.2,74.3
74.9,132.3,46.2,55.3,2.41,36.3,22.2,74.5,83.6
63.7,105.7,92.0,30.7,0.2,34.7,18.4,59.1,75.0
111.4,166.9,39.6,30.4,0.26,22.4,27.8,34.4,94.4
63.7,80.2,19.4,7.5,2.38,54.2,27.9,33.8,76.0
42.4,90.9,28.3,3.6,2.08,51.0,37.5,51.6,55.2
39.8,45.7,35.9,26.0,1.19,23.9,23.9,56.1,37.1
39.7,69.5,58.6,9.1,1.13,42.5,27.4,33.9,52.8
59.9,106.0,6.7,2.0,1.28,43.4,25.6,67.1,56.8
119.1,184.3,10.8,35.1,1.16,64.8,14.9,65.2,113.4
112.0,182.4,27.1,24.6,2.82,31.2,33.2,62.8,98.5
155.6,272.7,83.6,16.5,1.84,35.0,30.3,71.2,145.7
86.5,158.1,15.0,10.7,0.24,57.3,16.1,21.1,80.4
85.9,151.8,19.3,10.6,1.04,49.0,34.4,80.3,108.4
102.8,212.0,41.1,5.7,0.61,19.7,20.0,39.9,80.2
77.0,137.3,29.7,11.6,1.5,25.4,34.5,47.9,89.1
106.9,194.5,21.6,26.8,0.7,33.5,24.5,47.5,103.6
97.2,148.4,44.5,3.4,1.61,15.7,19.4,68.5,84.1
86.0,100.3,50.2,27.7,1.35,36.0,19.0,63.1,79.7
57.0,112.5,20.8,5.5,0.2,88.0,31.8,49.6,64.4
143.0,199.8,39.2,11.6,2.43,40.3,30.1,65.0,118.3
60.1,106.2,34.5,6.7,2.04,18.6,27.2,45.1,39.7
61.0,67.3,36.0,3.6,1.95,82.9,25.0,28.4,62.7
58.5,83.8,29.2,7.5,0.28,57.6,36.2,62.3,46.1
43.6,72.3,49.3,8.2,1.24,25.8,15.4,62.9,35.8
108.0,97.5,33.1,23.5,0.66,32.0,19.9,70.6,91.1
167.4,260.5,75.6,4.8,0.62,42.4,25.2,47.3,115.4
198.9,345.7,66.0,27.3,0.21,47.3,26.6,87.6,160.9
84.4,96.7,29.3,8.1,0.78,58.6,27.6,33.0,58.5
91.5,124.7,65.9,9.9,0.37,63.5,32.1,89.8,66.8
61.6,106.1,100.9,8.0,0.81,40.4,28.0,68.6,64.9
133.9,243.2,81.3,11.0,1.32,65.5,25.6,48.8,118.4
92.9,158.7,36.3,15.5,1.92,45.7,31.2,34.5,68.5
13.5,26.0,15.4,12.0,2.3,30.3,27.1,36.8,21.3
86.5,164.0,17.4,13.9,0.2,34.8,17.6,61.1,59.3
39.0,81.2,38.3,7.7,0.92,35.3,28.8,32.0,42.2
163.4,295.8,5.8,10.8,1.47,34.3,18.0,46.4,147.2
99.9,127.1,50.4,11.6,0.58,15.5,21.6,59.6,57.3
105.8,171.5,23.9,18.1,1.1,39.3,28.0,72.5,73.2
106.8,168.0,38.2,34.9,0.75,88.7,18.7,66.6,96.4
85.2,161.5,58.6,23.9,1.5,9.3,29.7,70.8,84.4
62.7,107.2,22.2,14.1,1.01,39.2,33.8,61.5,56.2
55.2,117.6,5.0,33.8,0.9,80.1,33.7,42.5,70.4
143.5,173.2,85.5,8.8,0.47,19.8,28.3,55.2,127.8
107.2,203.8,8.5,10.2,1.87,19.6,29.4,47.6,105.1
38.3,41.0,26.8,19.0,1.45,20.5,30.7,32.7,31.8
61.0,103.3,54.5,8.1,2.53,21.3,29.9,45.2,72.9
36.8,67.0,32.6,13.0,1.05,21.5,27.2,32.0,40.0
145.9,201.9,32.4,19.1,0.83,27.3,29.5,34.0,105.5
72.7,112.1,39.8,19.6,0.75,51.8,24.2,85.1,63.8
85.6,135.1,19.5,20.9,0.66,57.7,28.1,36.3,68.0
159.8,294.5,48.6,4.9,2.54,35.2,35.7,89.0,141.6
14.4,10.0,22.0,25.4,0.8,39.0,23.7,57.5,23.6
96.7,125.5,23.2,39.8,1.46,26.9,26.9,59.4,96.8
77.4,99.9,27.8,12.2,0.89,42.9,20.4,51.8,69.4
174.7,248.2,53.1,32.0,0.25,9.8,18.0,62.8,141.0
165.5,230.7,62.9,12.9,1.58,40.2,30.5,64.1,132.5
115.1,184.3,27.4,6.2,0.97,21.2,14.3,32.7,97.8
38.9,73.2,42.0,35.1,0.25,65.6,33.2,58.2,33.1
83.4,111.9,7.5,8.8,0.24,36.6,22.6,45.1,60.2
78.6,90.9,124.6,10.1,0.22,75.6,30.9,47.0,85.7
18.9,16.3,91.8,17.5,1.62,94.5,24.5,51.5,39.6
35.3,63.2,53.7,8.9,0.4,63.0,24.9,61.3,47.3
23.2,47.2,36.1,10.6,2.12,25.9,30.5,94.9,48.6
98.6,167.7,26.1,2.0,1.75,11.5,24.1,74.2,71.4
70.0,106.1,126.7,10.1,0.87,20.0,29.2,42.6,70.9
37.8,93.4,11.1,29.2,0.72,60.0,13.1,47.8,67.6
35.4,52.0,7.8,4.3,1.3,26.5,15.5,35.0,15.0
114.1,161.0,81.8,14.3,0.2,56.6,33.0,59.6,106.2
126.4,200.3,19.9,5.9,0.59,11.8,21.4,19.1,96.7
41.5,101.1,28.5,8.6,0.86,93.8,26.2,39.7,81.8
95.1,109.9,43.3,18.6,0.59,34.2,38.5,54.6,68.2
36.3,88.3,18.1,11.9,2.0,36.3,17.8,95.0,63.8
141.4,206.8,51.1,2.4,2.28,50.5,26.9,60.3,109.8
65.1,115.2,25.4,26.2,0.57,31.5,22.2,80.2,72.0
73.6,74.4,10.0,8.5,1.11,45.4,32.4,89.6,65.4
110.6,164.6,50.4,9.3,0.56,79.0,30.3,54.3,86.1
76.2,167.1,65.8,23.2,0.57,68.7,24.4,71.4,92.7
46.4,74.1,32.2,4.7,1.29,37.8,37.0,40.1,54.2
93.4,113.3,17.8,9.9,0.32,18.7,30.1,68.8,53.2
96.8,166.8,10.3,16.0,0.64,19.0,19.9,45.7,74.8
129.1,211.6,62.0,7.6,0.68,25.2,33.7,63.8,82.3
95.2,133.7,78.3,16.2,1.4,69.0,21.2,40.7,81.3
13.7,25.0,39.8,28.5,1.17,11.9,35.3,48.4,21.5
140.9,247.1,52.4,4.3,0.83,7.8,37.5,91.4,134.3
85.6,143.3,29.0,12.9,0.94,49.7,19.1,47.5,69.2
79.7,143.5,32.8,14.5,0.27,55.4,29.2,58.1,76.2
41.4,56.1,20.0,20.2,1.42,62.4,22.4,60.7,53.1
135.1,216.5,14.0,29.5,0.31,114.1,22.2,59.8,123.4
52.3,92.0,74.2,30.5,1.25,28.1,27.0,79.7,57.1
121.0,175.5,69.2,9.3,1.65,72.6,29.3,81.5,109.7
67.0,143.9,26.6,13.3,1.4,36.5,38.6,32.0,60.9
111.0,186.7,89.0,2.0,1.35,46.1,26.7,50.0,110.4
68.8,120.4,39.7,20.0,0.31,137.1,28.3,44.0,82.2
121.1,172.4,25.8,27.8,4.65,13.6,16.2,76.1,132.0
79.3,115.8,19.0,16.8,0.26,16.8,30.8,87.2,45.3
70.6,98.3,65.6,8.0,0.43,26.3,29.2,47.9,39.1
98.5,136.8,34.7,16.9,0.36,36.9,26.1,46.0,63.8
70.5,140.2,17.0,2.0,0.55,33.7,27.3,37.5,55.8
66.0,120.2,43.3,23.4,2.22,7.5,15.5,93.1,81.9
132.6,204.4,49.0,15.9,1.16,77.2,31.0,71.4,117.3
39.5,63.8,47.5,20.6,0.74,20.6,27.0,56.0,50.9
62.4,53.4,41.4,24.2,0.2,24.7,26.0,61.1,16.0
84.9,95.6,39.6,7.1,1.71,27.9,29.2,54.4,69.6
69.5,78.6,28.9,7.0,1.29,31.0,25.0,46.8,64.4
26.4,37.7,46.0,15.8,0.67,95.1,26.7,47.2,34.8
98.8,150.6,20.9,16.7,0.8,39.5,25.1,58.4,64.6
34.7,68.4,18.4,7.4,2.23,43.6,34.4,50.5,40.3
120.9,197.8,45.9,13.8,0.34,59.3,19.8,43.4,124.0
106.3,220.4,54.5,14.9,0.28,29.4,33.0,45.0,93.8
39.4,77.8,38.1,2.7,0.61,18.9,37.9,68.2,47.5
53.6,91.2,54.0,20.1,0.2,43.5,27.3,90.1,43.6
170.9,261.6,65.4,15.2,0.87,86.9,29.4,44.7,132.9
121.4,171.8,96.0,11.1,2.11,37.4,35.6,55.9,105.8
41.8,68.4,21.3,20.0,0.53,38.3,23.2,70.8,45.4
122.7,210.3,67.0,27.4,0.25,51.9,24.0,43.4,100.8
72.7,126.7,84.6,32.2,1.07,34.8,23.6,79.3,70.4
60.6,71.2,5.0,5.8,0.32,40.1,31.4,70.2,21.6
78.4,126.2,23.0,15.9,0.2,30.3,33.8,68.4,55.5
60.1,101.8,26.1,12.3,0.74,71.3,34.0,52.4,51.7
24.6,19.2,19.0,3.1,0.37,74.1,28.7,82.5,15.0
142.6,271.7,48.3,17.6,0.5,25.2,24.4,49.9,105.6
100.7,146.3,70.6,11.8,1.3,49.2,25.7,62.9,65.7
100.3,166.6,47.9,28.1,1.75,71.2,31.6,59.4,100.8
83.6,148.4,41.7,4.7,0.6,30.4,20.3,75.5,77.2
255.0,368.9,25.5,28.7,0.3,28.5,21.4,18.6,186.3
40.3,63.0,30.7,24.6,0.36,14.9,20.0,28.4,36.9
149.3,217.4,32.5,9.3,1.28,27.6,24.7,76.3,122.0
91.6,139.0,32.8,11.5,0.52,45.8,20.8,24.6,78.5
55.3,79.9,53.8,17.5,1.08,44.1,29.7,58.6,50.8
126.4,202.0,36.4,12.0,1.18,40.0,34.9,25.5,108.2
177.5,183.4,63.3,10.6,0.2,6.9,20.3,67.6,105.4
63.3,114.3,31.0,16.6,0.2,61.4,31.9,30.9,40.2
19.5,13.2,49.8,6.6,1.06,48.8,30.0,77.5,42.6
60.5,86.9,55.8,16.7,2.38,14.2,28.8,28.5,85.1
125.1,220.4,31.3,7.0,0.4,104.3,28.2,52.7,111.4
25.1,39.2,49.8,28.5,0.73,61.3,18.2,70.4,37.1
39.9,67.3,12.2,27.3,0.49,92.2,24.3,85.4,32.3
59.2,39.7,35.9,7.4,0.62,31.9,18.3,56.3,43.5
172.7,253.9,14.9,5.8,1.22,56.2,28.8,58.9,113.5
105.6,122.0,17.0,21.2,0.28,54.3,23.6,31.6,67.5
76.9,132.0,34.1,12.4,1.49,23.9,27.4,39.6,76.9
75.6,113.0,59.5,14.5,0.93,18.5,11.3,63.9,50.8
60.8,94.6,47.4,6.7,1.72,59.6,25.1,43.9,44.2
52.6,92.5,44.8,12.6,2.2,46.5,25.9,24.2,58.2
64.1,75.1,63.8,13.0,2.78,54.4,22.8,47.2,50.0
119.4,178.4,46.5,20.6,0.5,17.5,31.3,60.6,84.1
33.3,42.9,29.4,2.0,0.53,17.5,28.1,35.0,33.8
28.1,66.8,6.2,5.6,1.17,27.0,26.1,71.2,25.0
153.2,188.4,32.1,2.0,0.51,25.5,28.7,66.4,111.9
35.0,79.3,28.4,43.7,0.31,48.8,26.2,35.2,59.9
97.1,146.7,35.8,13.2,1.75,97.7,31.5,62.4,103.8
76.6,122.4,70.9,17.8,1.09,78.3,16.7,15.7,81.5
32.6,58.0,45.0,11.5,0.34,34.6,18.5,27.0,29.8
92.9,150.5,61.4,5.4,0.44,19.2,22.8,66.3,88.2
66.0,133.5,19.2,6.2,3.09,43.9,33.0,46.5,53.7
52.8,57.9,39.5,21.6,1.07,68.9,30.4,35.9,46.6
107.1,180.7,53.9,2.0,0.93,14.2,36.2,63.2,77.3
42.1,69.5,54.8,23.3,0.44,64.7,36.7,59.4,32.7
54.6,120.7,43.8,4.4,0.2,76.5,19.8,65.5,73.9
73.9,109.5,35.1,11.3,0.45,66.1,26.9,63.1,65.1
48.2,62.9,40.6,17.6,0.44,14.9,24.8,72.7,30.4
72.4,89.4,40.9,9.9,1.02,18.9,26.6,59.4,35.7
72.4,55.2,32.2,25.2,1.42,47.6,27.5,73.8,66.2
186.0,267.6,79.8,8.5,2.52,22.4,26.7,92.8,150.1
157.8,279.3,46.8,29.3,0.83,86.7,25.8,41.1,130.0
141.5,262.1,28.2,11.4,1.11,15.5,27.6,61.7,107.6
97.0,187.9,36.0,20.8,0.2,26.5,22.7,47.6,84.8
69.8,113.4,26.9,27.1,0.99,57.0,33.3,76.8,70.1
51.9,61.7,13.3,6.5,1.12,34.1,25.4,75.4,17.0
39.6,67.0,45.0,6.9,0.45,21.1,28.7,64.3,34.5
56.0,57.4,36.8,6.8,0.63,18.0,27.6,84.9,39.2
131.1,161.4,35.6,3.3,0.49,28.2,20.8,65.5,75.0
45.4,68.4,21.6,41.6,1.25,81.8,24.0,20.9,45.1
59.2,92.4,19.1,25.0,1.39,9.3,30.8,51.8,77.6
48.6,70.9,99.6,46.0,1.76,33.2,37.7,63.0,48.2
53.3,96.4,9.6,14.1,1.17,24.9,25.1,65.6,50.6
20.2,27.3,65.0,10.3,1.59,44.8,26.5,58.7,55.5
115.1,216.1,24.7,8.8,1.01,51.7,24.5,89.7,115.7
70.9,160.1,12.8,19.3,0.89,61.9,15.5,46.7,86.2
119.1,201.1,43.4,23.2,0.76,115.6,24.5,78.5,105.7
44.9,64.1,18.3,12.7,1.3,152.0,24.6,64.0,59.8
35.2,49.2,49.2,6.3,0.58,41.2,36.5,55.3,66.7
86.3,158.3,46.3,15.5,1.85,13.6,30.6,59.4,66.1
90.5,118.6,45.9,14.7,1.2,8.0,27.8,79.7,43.9
135.7,200.7,45.9,5.8,0.36,68.6,24.2,70.7,92.8
110.9,122.6,29.5,16.2,1.83,35.8,24.5,26.3,84.3
46.3,96.0,20.4,9.2,0.84,26.8,28.2,80.8,57.7
60.0,130.0,33.5,5.6,0.2,53.8,25.0,15.1,45.5
131.0,205.2,22.0,17.0,0.86,62.9,29.8,57.7,85.7
112.2,199.8,11.7,16.5,0.52,22.5,34.2,59.5,79.1
148.6,209.4,12.3,12.5,0.99,15.7,15.6,74.5,107.1
90.2,127.3,34.0,11.2,1.45,95.9,28.2,52.4,77.2
79.8,102.7,34.6,8.8,1.42,16.3,37.6,28.1,62.9
25.3,48.5,13.1,13.0,0.36,51.4,14.4,53.8,38.3
86.4,105.0,29.5,15.3,0.58,18.9,33.5,41.5,49.4
40.2,42.1,17.7,9.6,0.34,21.0,37.8,60.7,16.5
81.7,137.0,33.1,3.8,2.25,47.7,33.6,30.4,81.4
46.7,103.4,38.9,24.0,1.53,21.3,23.1,49.4,63.4
109.0,165.9,15.1,27.4,2.71,49.6,29.0,50.6,121.4
92.3,200.8,37.6,12.9,0.85,45.9,27.0,95.0,88.6
63.0,123.3,52.1,9.8,2.84,11.2,22.7,57.9,89.4
166.3,271.5,21.3,9.1,1.32,34.8,27.8,67.8,153.6
61.0,119.2,35.5,22.1,1.46,48.0,33.0,48.6,87.8
86.2,121.1,28.6,11.3,0.44,33.0,32.5,75.0,60.2
82.7,135.7,18.3,11.2,0.94,34.4,30.4,49.5,77.0
236.2,377.8,5.0,25.9,0.85,72.7,25.3,63.7,151.4
41.7,57.8,69.1,2.0,0.45,20.5,23.5,49.3,37.2
68.7,106.0,60.5,21.9,1.5,103.3,37.7,62.6,83.0
137.0,216.5,14.3,18.4,0.84,41.5,12.6,69.5,124.4
69.5,116.0,30.0,27.7,0.66,64.5,22.7,51.1,67.8
97.7,184.7,15.0,10.2,0.67,37.1,13.0,95.0,102.9
56.4,113.7,26.2,14.8,0.92,75.4,19.1,49.2,70.0
69.3,110.9,17.8,17.0,0.53,25.7,23.6,46.9,65.7
107.1,193.3,64.1,11.2,0.59,84.7,22.2,40.3,107.9
57.5,103.2,37.1,17.2,0.87,22.6,31.0,55.5,36.4
49.8,87.5,86.1,21.0,1.35,56.8,26.2,70.2,77.0
44.1,74.7,8.4,7.1,1.64,17.1,26.4,51.6,45.9
88.7,137.1,37.8,17.9,1.4,52.8,29.1,46.9,87.8
47.0,74.3,13.0,17.5,0.64,27.6,42.7,40.7,48.5
126.6,180.2,20.5,26.2,0.71,28.2,24.1,65.6,86.0
41.6,77.3,5.9,11.1,2.11,44.2,23.1,54.1,43.5
161.2,267.1,56.2,28.2,1.0,39.0,27.6,51.8,132.8
76.2,85.4,36.9,39.7,2.58,47.0,22.3,52.6,68.8
103.4,125.1,34.4,19.4,2.73,62.5,16.3,46.9,95.1
68.7,120.3,49.1,7.2,4.46,27.6,23.9,47.9,95.8
88.0,121.9,9.2,7.0,1.83,48.6,39.8,40.1,66.3
139.2,236.4,61.1,12.9,1.2,40.0,30.8,59.5,112.3
65.2,117.9,43.9,17.3,0.24,89.1,25.4,45.3,53.3
119.6,168.0,38.7,12.8,2.24,35.2,16.7,68.6,107.8
81.5,89.2,46.9,60.2,0.68,46.3,35.7,59.5,61.6
53.5,49.4,34.3,7.4,0.97,46.1,30.7,25.7,56.0
90.1,145.5,17.9,2.3,0.45,17.6,26.7,82.0,57.4
